City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guapiles,CR,2021-04-02 17:38:18,10.2159,-83.7866,80.6,53,40,25.32
68,Iqaluit,CA,2021-04-02 17:38:18,63.7506,-68.5145,-9.0,64,20,2.3
69,Ulu-Telyak,RU,2021-04-02 17:38:19,54.9086,56.9669,31.95,84,76,7.05
70,Georgetown,MY,2021-04-02 17:38:20,5.4112,100.3354,84.2,89,20,5.99
71,Souillac,MU,2021-04-02 17:38:21,-20.5167,57.5167,78.8,94,40,5.75
72,Fairbanks,US,2021-04-02 17:38:22,64.8378,-147.7164,1.99,85,90,3.44
73,Russell,US,2021-04-02 17:38:23,32.3502,-85.1999,54.0,30,1,8.05
74,Broken Hill,AU,2021-04-02 17:38:25,-31.95,141.4333,66.2,45,0,10.36
75,Obera,AR,2021-04-02 17:37:12,-27.4871,-55.1199,83.97,29,0,1.99
76,Tasiilaq,GL,2021-04-02 17:38:25,65.6145,-37.6368,32.0,86,90,8.05
77,Mayor Pablo Lagerenza,PY,2021-04-02 17:38:26,-19.9309,-60.7718,82.27,41,95,6.11
78,Bluff,NZ,2021-04-02 17:38:26,-46.6,168.3333,46.99,85,53,4.0
79,Curaca,BR,2021-04-02 17:38:27,-8.9903,-39.9094,97.84,22,41,13.42
80,Rivera,UY,2021-04-02 17:38:27,-30.9053,-55.5508,73.54,54,99,10.42
81,Japura,ID,2021-04-02 17:38:28,-0.3167,102.35,76.23,87,98,3.02
82,Bredasdorp,ZA,2021-04-02 17:38:28,-34.5322,20.0403,59.0,72,82,4.61
83,Avarua,CK,2021-04-02 17:38:29,-21.2078,-159.775,78.8,83,20,5.75
84,Tiksi,RU,2021-04-02 17:38:29,71.6872,128.8694,-17.07,100,100,7.31
85,Pevek,RU,2021-04-02 17:38:29,69.7008,170.3133,-20.06,96,12,3.62
86,New Norfolk,AU,2021-04-02 17:38:30,-42.7826,147.0587,62.6,67,14,17.27
87,Bima,ID,2021-04-02 17:38:30,-8.4667,118.7167,74.73,96,100,1.95
88,Constitucion,CL,2021-04-02 17:36:12,-35.3333,-72.4167,66.06,63,14,10.87
89,Gizo,SB,2021-04-02 17:38:31,-8.103,156.8419,82.08,75,99,1.16
90,Balabac,PH,2021-04-02 17:38:31,7.9868,117.0645,79.16,80,99,5.75
91,Ola,RU,2021-04-02 17:38:31,59.5833,151.2833,-0.11,87,5,7.4
92,Katsuura,JP,2021-04-02 17:38:31,35.1333,140.3,59.0,77,75,6.91
93,Opuwo,NA,2021-04-02 17:38:32,-18.0607,13.84,75.63,58,96,8.79
94,Tuktoyaktuk,CA,2021-04-02 17:38:32,69.4541,-133.0374,-23.8,76,75,3.44
95,General Roca,AR,2021-04-02 17:38:33,-39.0333,-67.5833,77.0,50,0,3.44
96,Cururupu,BR,2021-04-02 17:35:24,-1.8283,-44.8683,84.63,67,94,5.01
97,Barrow,US,2021-04-02 17:38:33,71.2906,-156.7887,-20.2,76,90,5.75
98,Wageningen,NL,2021-04-02 17:38:33,51.9667,5.6667,46.0,70,75,11.5
99,Lichinga,MZ,2021-04-02 17:38:34,-13.3128,35.2406,68.0,77,40,3.44
100,Umirim,BR,2021-04-02 17:38:34,-3.6772,-39.3503,82.99,74,5,24.0
101,Pochutla,MX,2021-04-02 17:38:34,15.7432,-96.4661,93.0,52,1,11.5
102,Geraldton,AU,2021-04-02 17:38:35,-28.7667,114.6,73.4,88,90,9.22
103,Ancud,CL,2021-04-02 17:38:35,-41.8697,-73.8203,59.0,82,90,5.75
104,Vanimo,PG,2021-04-02 17:38:36,-2.6741,141.3028,76.28,91,100,5.57
105,Tevaitoa,PF,2021-04-02 17:38:36,-16.7833,-151.5,80.98,73,1,3.29
106,Ambon,ID,2021-04-02 17:38:36,-3.6954,128.1814,75.2,100,40,6.91
107,Tokur,RU,2021-04-02 17:38:37,53.1333,132.9,28.9,98,100,7.29
108,Torbay,CA,2021-04-02 17:38:37,47.6666,-52.7314,45.0,81,75,9.22
109,Los Barrios,ES,2021-04-02 17:38:38,36.1848,-5.4921,68.0,60,20,12.66
110,Sola,VU,2021-04-02 17:38:38,-13.8833,167.55,82.13,75,97,8.88
111,Boa Vista,BR,2021-04-02 17:38:38,2.8197,-60.6733,89.6,48,75,10.36
112,Khasan,RU,2021-04-02 17:38:39,42.4308,130.6434,42.4,86,100,3.96
113,Cap Malheureux,MU,2021-04-02 17:38:39,-19.9842,57.6142,78.01,83,9,16.06
114,Jamestown,US,2021-04-02 17:38:14,42.097,-79.2353,33.01,40,1,12.66
