City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Berlevag,NO,35.6,broken clouds,70.8578,29.0864,Kvitbrakka
148,Hirara,JP,69.73,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
149,Faanui,PF,80.85,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Road Town,VG,82.4,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
151,Puqi,CN,52.81,light rain,29.7167,113.8833,Ramada Plaza Chibi
152,Barcelos,PT,75.0,clear sky,41.5388,-8.6151,Hotel Do Terço
153,Napasar,IN,89.02,broken clouds,27.9667,73.55,Laxmi Palace
154,Saint George,US,59.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
155,Kahului,US,69.8,light rain,20.8947,-156.47,Maui Seaside Hotel
156,Golden,US,68.0,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
157,Kokkola,FI,34.0,light snow,63.8385,23.1307,Hotel Kokkola
158,Roebourne,AU,82.85,light rain,-20.7833,117.1333,Harding River Caravan Park
159,Namibe,AO,86.0,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
161,Pauini,BR,84.97,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
162,Hithadhoo,MV,84.2,moderate rain,-0.6,73.0833,Scoop Guest House
163,Traralgon,AU,53.01,few clouds,-38.1833,146.5333,Comfort Inn Traralgon
164,Longyearbyen,SJ,17.6,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
165,Petropavlovsk-Kamchatskiy,RU,24.8,scattered clouds,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
166,Nagram,IN,86.0,haze,26.6167,81.1333,Yadav Beej Bhandar
167,Zhob,PK,70.41,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
168,Itarema,BR,86.74,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
169,Sterling,US,64.0,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
170,Torbay,CA,39.99,light intensity drizzle,47.6666,-52.7314,Gallows Cove
171,Kargasok,RU,34.88,overcast clouds,59.0556,80.8572,Hotel Kargasok
172,Constitucion,CL,61.7,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
173,Erzin,TR,64.0,broken clouds,36.9559,36.2,Artemis Otel
174,Victoria,HK,73.0,broken clouds,22.2855,114.1577,Mini Hotel Central
177,Yellowknife,CA,19.99,broken clouds,62.456,-114.3525,The Explorer Hotel
178,Yichun,CN,32.79,clear sky,47.7,128.9,锦江酒店
179,Selma,US,53.01,few clouds,36.5708,-119.6121,Holiday Inn Selma-Swancourt
180,Korla,CN,55.08,broken clouds,41.7597,86.1469,Gulisitan Hotel
181,Arraial Do Cabo,BR,82.4,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
182,Jijiang,CN,59.0,light rain,29.2906,106.2542,Chongqing Jiangjin Hotel
185,Castro,BR,71.74,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
187,Olutanga,PH,82.67,overcast clouds,7.3106,122.8464,Morales Lodge
188,Iskateley,RU,29.39,overcast clouds,67.6803,53.1512,Hostel Agat
189,Lompoc,US,51.8,broken clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
191,Coahuayana,MX,84.54,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
192,Lorengau,PG,81.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Luena,AO,82.4,scattered clouds,-11.7833,19.9167,Hotel Kandamba
194,Hilo,US,69.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
195,Abashiri,JP,28.0,clear sky,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
197,Feijo,BR,78.55,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
198,Mayumba,GA,82.17,light rain,-3.432,10.6554,LIKWALE LODGE
199,Saint Anthony,US,70.0,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
200,Arlit,NE,97.47,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
202,Banyo,CM,92.35,scattered clouds,6.75,11.8167,Motel JOMBA
203,Jinchang,CN,46.71,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
204,Terney,RU,34.12,few clouds,45.0503,136.6092,"Hotel ""Ternay"""
205,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
206,Mount Isa,AU,73.4,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
207,Mahina,PF,77.0,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
208,Flinders,AU,68.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
209,Ovalle,CL,70.14,broken clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
210,Tome,CL,59.0,overcast clouds,-36.6167,-72.95,Dichato habitaciones
211,Pamanukan,ID,78.03,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
212,Mitsamiouli,KM,83.08,light rain,-11.3847,43.2844,Foyer ADM
213,Los Llanos De Aridane,ES,68.0,broken clouds,28.6585,-17.9182,Valle Aridane
215,Kavieng,PG,80.37,moderate rain,-2.5744,150.7967,Nusa Island Retreat
216,Bom Jesus,BR,96.71,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
218,Masumbwe,TZ,67.41,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
219,Mongu,ZM,78.13,scattered clouds,-15.2484,23.1274,Country Lodge Mongu
220,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
221,Goksun,TR,57.2,broken clouds,38.021,36.4973,Tuğçe Otel
223,Atuona,PF,80.04,scattered clouds,-9.8,-139.0333,Villa Enata
225,Nyrob,RU,20.17,broken clouds,60.733,56.7202,Gostinitsa
226,Necochea,AR,77.14,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
227,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
228,Esperance,AU,77.0,broken clouds,-33.8667,121.9,Hospitality Esperance
229,Shediac,CA,39.0,light rain,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
230,Ullapool,GB,36.0,overcast clouds,57.8987,-5.1604,Argyll Hotel
231,Karachi,PK,80.6,smoke,24.9056,67.0822,Sadaat
233,Singaraja,ID,80.56,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
234,Salinopolis,BR,83.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
235,Shache,CN,49.48,light rain,38.4167,77.2406,Delong Hotel
237,Mozarlandia,BR,88.84,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
238,Ribeira Grande,PT,64.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
240,Zmeinogorsk,RU,38.14,overcast clouds,51.1567,82.195,"Kompastur, Gostinitsa"
241,Dunedin,NZ,52.0,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
243,Tuatapere,NZ,48.99,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
244,Bilma,NE,94.14,clear sky,18.6853,12.9164,Expeditions Ténére voyages
245,Kathu,TH,82.4,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
246,Teahupoo,PF,77.0,few clouds,-17.8333,-149.2667,Vanira Lodge
247,Moron,AR,82.99,clear sky,-34.6534,-58.6198,Hotel Morón
248,Port Macquarie,AU,66.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
249,Barra Do Corda,BR,82.2,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
250,Srandakan,ID,77.25,overcast clouds,-7.9386,110.2506,Puri Brata
251,Santa Isabel Do Rio Negro,BR,75.74,light rain,-0.4139,-65.0192,Hotel GSA
253,Bambous Virieux,MU,81.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
254,Iqaluit,CA,14.0,snow,63.7506,-68.5145,Frobisher Inn
255,Bhola,BD,80.55,clear sky,22.6833,90.65,Student Hostel (Shahbaz Khan Hostel)
257,Honningsvag,NO,35.6,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
258,Faya,SA,73.4,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
259,Chapais,CA,35.6,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
260,Mishelevka,RU,31.62,overcast clouds,52.8575,103.1719,База отдыха Белая
261,Kaoma,ZM,72.0,few clouds,-14.7833,24.8,KAOMA AIRPORT
262,Corrente,BR,89.6,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
263,Muros,ES,77.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
264,Broome,US,53.01,clear sky,42.2506,-75.833,Chenango Valley State Park
266,Koutsouras,GR,66.99,overcast clouds,35.0339,25.9469,The White Houses
267,Salta,AR,71.6,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
268,Goya,AR,70.92,very heavy rain,-29.14,-59.2626,Apart Costanera
269,Saldanha,ZA,71.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
270,Leshukonskoye,RU,35.35,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
271,Nabire,ID,76.89,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
272,Uusikaupunki,FI,33.8,broken clouds,60.8004,21.4084,Hotel Aquarius
273,Ilulissat,GL,17.6,light snow,69.2167,-51.1,Hotel Arctic
275,Acajutla,SV,75.99,clear sky,13.5928,-89.8275,asi es
276,Tumut,AU,68.0,clear sky,-35.3,148.2167,Amaroo Motel
277,Banyuwangi,ID,75.65,overcast clouds,-8.2325,114.3576,Hotel Blambangan
278,Harstad,NO,34.0,light snow,68.799,16.5293,Clarion Collection Hotel Arcticus
279,Kaitangata,NZ,46.99,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
280,Perm,RU,35.6,clear sky,58.0174,56.2855,Otel' Tsvety
281,Colac,AU,57.0,clear sky,-38.3333,143.5833,Otway Gate Motel
282,Kirakira,SB,79.29,moderate rain,-10.4544,161.9205,SanBiz Lodge
284,Haines Junction,CA,26.6,light snow,60.7522,-137.5108,Parkside Inn
285,Saint-Denis,FR,45.0,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
286,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
288,Lauria,IT,51.1,clear sky,40.0465,15.8358,Hotel Isola Di Lauria
289,Cabo Rojo,PR,82.0,overcast clouds,18.0866,-67.1457,Hotel Perichi's
290,North Bay,CA,48.0,broken clouds,46.3168,-79.4663,Holiday Inn Express & Suites North Bay
291,Abu Dhabi,AE,78.8,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
293,Lieksa,FI,35.4,overcast clouds,63.3167,30.0167,Kaatrahovi
294,Samur,RU,55.76,clear sky,41.8253,48.486,Samur
296,Sabang,ID,82.67,overcast clouds,5.8933,95.3214,Hotel Citra
298,Cordoba,AR,72.0,few clouds,-31.4135,-64.1811,Hotel Sussex
299,Buchanan,LR,89.6,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
300,Airai,TL,59.72,overcast clouds,-8.9266,125.4092,Juvinal Martin
301,Mocuba,MZ,72.48,scattered clouds,-16.8392,36.9856,Phama Lodge
302,Kiama,AU,69.01,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
303,Whitecourt,CA,30.2,few clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
304,Biloela,AU,69.76,overcast clouds,-24.4167,150.5,Silo Motor Inn
305,Krasnoselkup,RU,33.13,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
306,Florence,IT,62.6,clear sky,43.7667,11.25,Italiana Hotels Florence
308,Gedo,ET,65.21,overcast clouds,9.0167,37.45,Mida Qanyi
309,Mizdah,LY,73.17,few clouds,31.4451,12.9801,محمدالمبروك الاريقط
310,Yar-Sale,RU,31.91,overcast clouds,66.8333,70.8333,Yalemd
311,Aden,YE,81.81,broken clouds,12.7794,45.0367,Sama Emirate Hotel
312,Abha,SA,73.4,scattered clouds,18.2164,42.5053,Abha Hotel
313,Thunder Bay,CA,48.99,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
315,Taltal,CL,71.64,clear sky,-25.4,-70.4833,Residencial Karime
316,Diego De Almagro,CL,80.44,clear sky,-26.3667,-70.05,hotel luna del desierto
318,Terdal,IN,88.14,clear sky,16.5,75.05,Naikwadi mansion
319,Coro,VE,84.83,overcast clouds,11.4045,-69.6734,Federal
320,Komsomolskiy,UZ,55.4,few clouds,40.4272,71.7189,Ikathouse
322,Qinzhou,CN,76.14,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
323,Karratha,AU,83.41,light rain,-20.7377,116.8463,ibis Styles Karratha
324,Pochutla,MX,88.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
325,Verkhnedneprovskiy,RU,40.93,broken clouds,54.9813,33.3457,Friendship Hotel
326,Olafsvik,IS,26.74,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
327,Codrington,AU,52.16,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
328,Pitimbu,BR,86.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
329,Houma,US,72.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
330,Pokhara,NP,68.02,clear sky,28.2333,83.9833,Butterfly Lodge
331,Brookhaven,US,72.0,clear sky,31.5791,-90.4407,Americas Best Value Inn Brookhaven
332,Port-Gentil,GA,87.8,moderate rain,-0.7193,8.7815,Fengshui Residence
333,Tabou,CI,83.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
334,Bom Conselho,BR,83.44,broken clouds,-9.1697,-36.6797,Hotel Raízes
335,Broken Hill,AU,66.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
336,Phalia,PK,78.55,overcast clouds,32.4297,73.5775,Sabri Hotel Phalia
337,Goma,CD,69.8,light rain,-1.6792,29.2228,Hotel la Versailles Goma
338,Pailon,BO,80.6,moderate rain,-17.65,-62.75,Alojamiento pailon
340,Artyom,AZ,55.4,clear sky,40.4723,50.333,Merdan Respect
341,Grand Baie,MU,81.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
342,Porto Novo,BJ,89.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
343,La Plata,AR,77.0,few clouds,-34.9215,-57.9545,Hotel Corregidor
344,Thenzawl,IN,62.94,few clouds,23.3167,92.75,LH.Ngaihzuala Garden
345,Kizhinga,RU,26.44,scattered clouds,51.8462,109.9097,Viktoriya
347,Nieves,PH,82.4,broken clouds,15.3274,120.9485,Bill's Inn
348,Matay,EG,80.73,few clouds,28.419,30.7792,Nag Aespen
349,Puerto Madryn,AR,65.52,broken clouds,-42.7692,-65.0385,Hotel Tolosa
350,Vestmannaeyjar,IS,26.6,scattered clouds,63.4427,-20.2734,Glamping & Camping
351,Cajamar,BR,79.0,clear sky,-23.3519,-46.8813,Hospedaria Palotina
352,Viedma,AR,87.01,clear sky,-40.8135,-62.9967,Hotel Cristal
354,Prainha,BR,88.56,scattered clouds,-1.8,-53.48,Casa Rocha
355,Port Augusta,AU,68.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
356,Lesnoy,RU,32.81,light snow,57.6198,63.0784,Apartamenty Na Sovetskoy
357,Gull Lake,CA,35.6,clear sky,50.1001,-108.4847,Campbell's Accommodations
358,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
359,Gravelbourg,CA,39.2,broken clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
360,Fort Nelson,CA,30.2,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
361,Yinchuan,CN,48.99,light rain,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
362,Ocean City,US,62.01,clear sky,39.2776,-74.5746,Biscayne Suites
363,Acari,PE,82.35,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
364,Nishihara,JP,66.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
365,Mao,ES,62.6,clear sky,39.8885,4.2658,ARTIEM Capri
367,Tambun,ID,82.99,few clouds,-6.2641,107.0712,@HOM Premiere Tambun
368,Del Rio,US,71.6,broken clouds,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
369,Channel-Port Aux Basques,CA,39.63,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
